id,event_type,engine_id,metadata,created_at
7c3af3be-f622-479e-a6d3-4c7281c6b5bc,affiliate_click,2,"{""title"":""OpenAI aborda cuestiones existenciales con adquisiciones"",""news_id"":""02695f39-c59f-4e5d-81f6-a4d56ffcdf9e"",""affiliate_product"":""openai""}",2026-04-20 18:53:53.051101+00
7c70696b-6542-48dc-ab92-db261703757d,affiliate_click,2,"{""title"":""Musk vs OpenAI: Revelaciones sobre la donación de $38 millones"",""news_id"":""16951bb3-d142-4a77-a168-17a67120dc9a"",""affiliate_product"":""openai""}",2026-05-09 02:07:54.635396+00
